[2020-09-16 19:20:08,817] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 095610 - 종목명: 테스                                     - 보유수량: 000000000000024 - 매입가:000000000026300 - 수익률: -00000010.78 - 현재가: 000000023700
[2020-09-16 19:20:08,819] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 100120 - 종목명: 뷰웍스                                   - 보유수량: 000000000000014 - 매입가:000000000035350 - 수익률: -00000009.81 - 현재가: 000000032200
[2020-09-16 19:20:08,822] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 143160 - 종목명: 아이디스                                 - 보유수량: 000000000000013 - 매입가:000000000039150 - 수익률: -00000014.53 - 현재가: 000000033800
[2020-09-16 19:20:08,830] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 160980 - 종목명: 싸이맥스                                 - 보유수량: 000000000000043 - 매입가:000000000013211 - 수익률: 000000005.74 - 현재가: 000000014100
[2020-09-16 19:20:08,833] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 161580 - 종목명: 필옵틱스                                 - 보유수량: 000000000000095 - 매입가:000000000013135 - 수익률: 000000016.19 - 현재가: 000000015400
[2020-09-16 19:20:08,836] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 284740 - 종목명: 쿠쿠홈시스                               - 보유수량: 000000000000013 - 매입가:000000000036542 - 수익률: 000000009.95 - 현재가: 000000040550
[2020-09-16 19:20:08,837] I kiwoom.py | Kiwoom-trdata_slot-0230 I DEBUG    > sPreNext : 
[2020-09-16 19:20:13,876] I kiwoom.py | Kiwoom-msg_slot-0802 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-09-16 19:20:41,915] I kiwoom.py | Kiwoom-__init__-0020 I DEBUG    > Kiwoom() class start.
[2020-09-16 19:20:45,151] I kiwoom.py | Kiwoom-login_slot-0119 I DEBUG    > 정상처리
[2020-09-16 19:20:45,151] I kiwoom.py | Kiwoom-get_account_info-0130 I DEBUG    > 계좌번호 : 8140145911
[2020-09-16 19:20:45,180] I kiwoom.py | Kiwoom-msg_slot-0802 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:20:45,182] I kiwoom.py | Kiwoom-trdata_slot-0175 I DEBUG    > 예수금 : 93825079
[2020-09-16 19:20:45,261] I kiwoom.py | Kiwoom-msg_slot-0802 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:20:45,265] I kiwoom.py | Kiwoom-trdata_slot-0190 I DEBUG    > 계좌평가잔고내역요청 싱글데이터 : 000000008918600 - 000000000159306 - 000000001.79
[2020-09-16 19:20:45,266] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 000880 - 종목명: 한화                                     - 보유수량: 000000000000024 - 매입가:000000000023600 - 수익률: 000000014.21 - 현재가: 000000027200
[2020-09-16 19:20:45,267] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 005160 - 종목명: 동국산업                                 - 보유수량: 000000000000136 - 매입가:000000000003650 - 수익률: 000000003.27 - 현재가: 000000003805
[2020-09-16 19:20:45,269] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 006360 - 종목명: GS건설                                   - 보유수량: 000000000000048 - 매입가:000000000026850 - 수익률: -00000005.95 - 현재가: 000000025500
[2020-09-16 19:20:45,270] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 006620 - 종목명: 동구바이오제약                           - 보유수량: 000000000000023 - 매입가:000000000027250 - 수익률: -00000003.68 - 현재가: 000000026500
[2020-09-16 19:20:45,271] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 008730 - 종목명: 율촌화학                                 - 보유수량: 000000000000027 - 매입가:000000000016550 - 수익률: -00000001.55 - 현재가: 000000016450
[2020-09-16 19:20:45,273] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 037460 - 종목명: 삼지전자                                 - 보유수량: 000000000000049 - 매입가:000000000011050 - 수익률: 000000012.10 - 현재가: 000000012500
[2020-09-16 19:20:45,274] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 046440 - 종목명: KG모빌리언스                             - 보유수량: 000000000000050 - 매입가:000000000010550 - 수익률: -00000002.83 - 현재가: 000000010350
[2020-09-16 19:20:45,275] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 072020 - 종목명: 중앙백신                                 - 보유수량: 000000000000028 - 매입가:000000000017800 - 수익률: 000000005.47 - 현재가: 000000018950
[2020-09-16 19:20:45,277] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 095610 - 종목명: 테스                                     - 보유수량: 000000000000024 - 매입가:000000000026300 - 수익률: -00000010.78 - 현재가: 000000023700
[2020-09-16 19:20:45,278] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 100120 - 종목명: 뷰웍스                                   - 보유수량: 000000000000014 - 매입가:000000000035350 - 수익률: -00000009.81 - 현재가: 000000032200
[2020-09-16 19:20:45,280] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 143160 - 종목명: 아이디스                                 - 보유수량: 000000000000013 - 매입가:000000000039150 - 수익률: -00000014.53 - 현재가: 000000033800
[2020-09-16 19:20:45,281] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 160980 - 종목명: 싸이맥스                                 - 보유수량: 000000000000043 - 매입가:000000000013211 - 수익률: 000000005.74 - 현재가: 000000014100
[2020-09-16 19:20:45,283] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 161580 - 종목명: 필옵틱스                                 - 보유수량: 000000000000095 - 매입가:000000000013135 - 수익률: 000000016.19 - 현재가: 000000015400
[2020-09-16 19:20:45,284] I kiwoom.py | Kiwoom-trdata_slot-0206 I DEBUG    > 종목코드: 284740 - 종목명: 쿠쿠홈시스                               - 보유수량: 000000000000013 - 매입가:000000000036542 - 수익률: 000000009.95 - 현재가: 000000040550
[2020-09-16 19:20:45,285] I kiwoom.py | Kiwoom-trdata_slot-0230 I DEBUG    > sPreNext : 
[2020-09-16 19:20:50,323] I kiwoom.py | Kiwoom-msg_slot-0802 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-09-16 19:26:25,934] I kiwoom.py | Kiwoom-__init__-0023 I DEBUG    > Kiwoom() class start.
[2020-09-16 19:26:35,188] I kiwoom.py | Kiwoom-login_slot-0124 I DEBUG    > 정상처리
[2020-09-16 19:26:35,219] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:26:35,314] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:26:40,368] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-09-16 19:36:48,900] I kiwoom.py | Kiwoom-__init__-0023 I DEBUG    > Kiwoom() class start.
[2020-09-16 19:36:52,210] I kiwoom.py | Kiwoom-login_slot-0124 I DEBUG    > 정상처리
[2020-09-16 19:36:52,234] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:36:52,326] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:36:57,358] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-09-16 19:43:31,777] I kiwoom.py | Kiwoom-__init__-0023 I DEBUG    > Kiwoom() class start.
[2020-09-16 19:43:35,062] I kiwoom.py | Kiwoom-login_slot-0124 I DEBUG    > 정상처리
[2020-09-16 19:43:35,091] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:43:35,172] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:43:40,227] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-09-16 19:48:41,532] I kiwoom.py | Kiwoom-__init__-0023 I DEBUG    > Kiwoom() class start.
[2020-09-16 19:48:46,753] I kiwoom.py | Kiwoom-login_slot-0124 I DEBUG    > 정상처리
[2020-09-16 19:48:46,777] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:48:47,469] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:48:52,503] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-09-16 19:49:33,060] I kiwoom.py | Kiwoom-__init__-0023 I DEBUG    > Kiwoom() class start.
[2020-09-16 19:49:36,413] I kiwoom.py | Kiwoom-login_slot-0124 I DEBUG    > 정상처리
[2020-09-16 19:49:36,439] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:49:36,519] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 19:49:41,603] I kiwoom.py | Kiwoom-msg_slot-0840 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-09-16 20:28:39,165] I kiwoom.py | Kiwoom-__init__-0023 I DEBUG    > Kiwoom() class start.
[2020-09-16 20:28:42,801] I kiwoom.py | Kiwoom-login_slot-0125 I DEBUG    > 정상처리
[2020-09-16 20:28:42,828] I kiwoom.py | Kiwoom-msg_slot-0841 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-09-16 20:28:43,888] I kiwoom.py | Kiwoom-msg_slot-0841 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
